1,KVS(キーバリューストア),1,"KeyとValueを組み合わせる単純な構造からなるデータストア。
Keyを指定すると、Keyに関連付けられたValueが呼び出される仕組み",2020-07-08T05:06:58.110,2020-07-08T05:06:58.110
2,ST,1,システムテスト,2020-07-08T05:06:58.111,2020-07-08T05:06:58.111
3,サマリ,1,大きなデータベースを集計したもの,2020-07-08T05:06:58.112,2020-07-08T05:06:58.112
4,JDG,1,Chronousで使っているDBのストレージ。Jboss Data Grid,2020-07-08T05:06:58.113,2020-07-08T05:06:58.113
5,デグレ(デグレード),1,ソフトウェア開発において、プログラムを手直しした際に修正部分以外の個所で不整合・不具合が発生したり、バージョン管理の手抜かりなどによって以前の状態に戻ってしまい、修正済みだったバグが再発したりすること。,2020-07-08T05:06:58.114,2020-07-08T05:06:58.114
6,オンサイト開発,1,プロジェクト現場に他社メンバーが常駐し、自社メンバーと一緒にシステム開発を行うこと。,2020-07-08T05:06:58.115,2020-07-08T05:06:58.115
7,貸し倒れ,1,"売掛金や貸付金などが回収できなくなり、損失となること
SBではどうか？↓
貸し倒れ件数：四半期に５万請求先→250億くらいの損失
99.8%は回収できてる。",2020-07-08T05:06:58.116,2020-07-08T05:06:58.116
8,余実,1,予定と実績,2020-07-08T05:06:58.117,2020-07-08T05:06:58.117
9,DFS1.7,1,"レベルDBベース。ストアのバージョン。
DFSは内製KVS製品。分散ファイルシステム (Distributed File System)。中身はRocksDBとか",2020-07-08T05:06:58.118,2020-07-08T05:06:58.118
10,DWH,1,DataWareHouse: 蓄積された大量の業務データを各システムより連携し、各項目間の関連性を分析するシステム。,2020-07-08T05:06:58.119,2020-07-08T05:06:58.119
11,ST環境,1,開発工程のひとつ。システムテスト環境という環境名を示す場合もある。,2020-07-08T05:06:58.120,2020-07-08T05:06:58.120
12,Nifi,1,NifiはApacheNifiというMW(Middleware),2020-07-08T05:06:58.121,2020-07-08T05:06:58.121
13,nginx,1,一般用語。webサーバ製品。Apacheと比較すると、同時リクエストの処理が得意。,2020-07-08T05:06:58.122,2020-07-08T05:06:58.122
14,APサーバー,1,アプリケーションサーバーの略,2020-07-08T05:06:58.123,2020-07-08T05:06:58.123
15,ESB,1,Enterprise Service Bus。プロトコルによらず、サーバー同士を接続するもの,2020-07-08T05:06:58.124,2020-07-08T05:06:58.124
16,Vソック→VSOC,1,"VSOC（VirtualSecurityOperationCenter）
そもそもSOCというものがあり、セキュリティレベルの高い作業場所を指す。
※要は商用環境に変更をかけるような作業はセキュリティレベルの高い場所で実施する必要がある。（データの持ち込み持ち出しが出来ないように）
VSOCはその作業を各自のローカルPCから実施できる特別な環境を指す。",2020-07-08T05:06:58.125,2020-07-08T05:06:58.125
17,Tealeaf,1,IBM Customer Experience Analytics による顧客体験管理,2020-07-08T05:06:58.126,2020-07-08T05:06:58.126
18,zabbix agent,1,稼働情報データをローカルで収集し、Zabbixで処理を行うためにZabbixサーバに情報を報告,2020-07-08T05:06:58.127,2020-07-08T05:06:58.127
